participant,total_keystrokes,wpm_estimate,hold_mean,hold_std,hold_cv,dd_mean,dd_std,dd_cv,dd_skew,dd_kurtosis,ud_mean,ud_std,overlap_ratio,dd_iqr,cluster
p001,5035,65.57377049180327,0.1057904667328699,0.0474109833200376,0.4481593170370881,0.3077642502482622,0.386160120018392,1.2547270181864565,6.165936483879481,86.09086069685554,0.2019737835153922,0.3845904550876197,0.1660377358490566,0.1599999999999999,3
p002,5257,88.23529411764706,0.084998097774396,0.0215457460874076,0.253485038507507,0.1746326802358759,0.1461282052831948,0.8367746809235244,3.8541588961778146,25.076352369845026,0.0896345824614799,0.1486994513532082,0.1793798744531101,0.086,1
p003,4964,142.85714285714286,0.0887951248992747,0.1646696206032911,1.85448943047363,0.1018833601933924,0.2449419663677144,2.4041410285523668,0.7884088952742583,335.5187468819808,0.0130882352941176,0.1786776394572616,0.483279613215149,0.063,0
p004,4476,134.8314606741573,0.1765297140303842,0.8453067575881199,4.788467268703708,0.1451096961572832,1.2431737498522106,8.567130817397233,0.054720923337962,29.578006731474765,-0.0314200178731009,0.9031713998527872,0.0676943699731903,0.154,2
p005,6390,50.20920502092051,0.10498779342723,0.0538105129310951,0.5125406599615089,0.3036532081377152,0.2880394366980366,0.948580252007092,10.6581292868348,243.7247837819177,0.1986654147104851,0.2826557899825911,0.09358372456964,0.239,3
p006,5360,93.75,0.0974546641791044,0.3411613397053283,3.5007184374298816,0.1626953358208955,0.5301165341159655,3.2583388542837386,2.050175441711828,175.97065247521746,0.065240671641791,0.4000516964945672,0.2736940298507462,0.113,0
p007,4893,63.82978723404256,0.0933216840384222,0.0273254576465523,0.292809307162759,0.2461083180053137,0.2284307752704294,0.9281716974129148,12.070369682793286,332.99322878009923,0.1527866339668915,0.2322831395487288,0.0472103004291845,0.096,1
p008,4996,90.22556390977444,0.1140424339471577,0.3976651357121485,3.486992709191118,0.1470964771817454,0.5686801464871163,3.866035117785197,-0.1398610279298655,179.81539338783378,0.0330540432345876,0.4088306994618775,0.2660128102481985,0.0769999999999999,0
p009,5116,56.60377358490566,0.0944870992963252,0.0372043211854312,0.3937502734500625,0.288891712275215,0.3059355428916662,1.0589972986148324,11.377214112205046,260.45728671419744,0.1944046129788897,0.3085903263730306,0.0410476935105551,0.1299999999999999,1
p010,4748,41.66666666666667,0.0872354675652906,0.0398009550145198,0.4562473971350147,0.3860149536647009,0.2965803186125241,0.7683130298370221,2.85214670568426,18.527144948323464,0.2987794860994103,0.2985051748260393,0.0023167649536647,0.327,3
p011,5472,64.86486486486487,0.1077474415204678,0.0464497632813996,0.4310985265722153,0.2610396564327485,0.2939963606256894,1.1262517145605864,9.526285263064032,210.13463839777015,0.1532922149122807,0.2898108459022033,0.1058114035087719,0.095,1
p012,5982,88.23529411764706,0.1180041792042795,0.0336575814105867,0.2852236390062211,0.1888751253761284,0.1651377489476985,0.8743223789730971,3.026679994187253,16.76801962199568,0.0708709461718488,0.164752025652504,0.4257773319959879,0.1159999999999999,1
p013,5375,74.53416149068323,0.10264,0.0395784645573514,0.3856046819695196,0.2095601860465116,0.2043002008453879,0.9748998829388515,11.835012509733454,290.95308493134473,0.1069201860465116,0.2082286515732834,0.2109767441860465,0.1,1
p014,5558,61.53846153846153,0.0770638718963656,0.0313828728538608,0.407231976302256,0.377044080604534,0.4303437762265806,1.1413619742725811,4.916123989360906,61.63392281784188,0.2999802087081684,0.4354353179404999,0.0465994962216624,0.3419999999999999,3
p015,5881,65.93406593406594,0.1293745961571161,0.0504384918150397,0.3898639556237593,0.2591627274273083,0.225521992860076,0.8701945495743874,3.141175726559368,16.11995149916652,0.1297881312701921,0.2223861690061492,0.2654310491413025,0.176,1
